prompt,query
"Find FIRs registered in January 2025.","SELECT F.fir_id, F.fir_no, F.incident_date, F.status FROM FIR F WHERE F.incident_date BETWEEN TO_DATE('2025-01-01','YYYY-MM-DD') AND TO_DATE('2025-01-31','YYYY-MM-DD');"
"List all officers who filed FIRs for theft in last month.","SELECT DISTINCT O.officer_id, O.officer_name FROM FIR F JOIN OFFICER O ON F.officer_id = O.officer_id WHERE F.incident_type = 'THEFT' AND F.incident_date >= ADD_MONTHS(TRUNC(SYSDATE,'MM'),-1) AND F.incident_date < TRUNC(SYSDATE,'MM');"
"Get top 10 most recent FIRs with station and district info.","SELECT F.fir_id, F.fir_no, F.incident_date, PS.ps_name, D.district_name FROM FIR F JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id JOIN DISTRICT_MASTER D ON PS.district_code = D.district_code ORDER BY F.incident_date DESC FETCH FIRST 10 ROWS ONLY;"
"Find vehicles of type ""BUS"" involved in FIRs in last three months.","SELECT V.vehicle_no, V.vehicle_type, F.fir_id, F.incident_date FROM VEHICLE_MASTER V JOIN FIR F ON V.vehicle_id = F.vehicle_id WHERE UPPER(V.vehicle_type) = 'BUS' AND F.incident_date >= ADD_MONTHS(SYSDATE,-3);"
"Count FIRs per district for December 2024.","SELECT D.district_name, COUNT(*) AS fir_count FROM FIR F JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id JOIN DISTRICT_MASTER D ON PS.district_code = D.district_code WHERE F.incident_date BETWEEN TO_DATE('2024-12-01','YYYY-MM-DD') AND TO_DATE('2024-12-31','YYYY-MM-DD') GROUP BY D.district_name;"
"List missing vehicle FIRs with missing dates.","SELECT V.vehicle_no, V.missing_date, F.fir_no, F.incident_date FROM VEHICLE_MASTER V JOIN FIR F ON V.vehicle_id = F.vehicle_id WHERE UPPER(V.vehicle_status) = 'MISSING' AND UPPER(F.status) = 'MISSING';"
"Get FIRs filed by officer with ID 101 in 2024.","SELECT F.fir_id, F.fir_no, F.incident_date, F.status FROM FIR F JOIN OFFICER O ON F.officer_id = O.officer_id WHERE O.officer_id = 101 AND F.incident_date BETWEEN TO_DATE('2024-01-01','YYYY-MM-DD') AND TO_DATE('2024-12-31','YYYY-MM-DD');"
"Find FIRs for burglary (case-insensitive) in last year.","SELECT F.fir_id, F.fir_no, F.incident_date FROM FIR F WHERE LOWER(F.incident_type) = 'burglary' AND F.incident_date >= ADD_MONTHS(SYSDATE,-12);"
"Retrieve police station names with most FIRs (>100) in 2024.","SELECT PS.ps_name, COUNT(*) AS fir_count FROM FIR F JOIN POLICE_STATION PS ON F.police_station_id = PS.police_station_id WHERE F.incident_date BETWEEN TO_DATE('2024-01-01','YYYY-MM-DD') AND TO_DATE('2024-12-31','YYYY-MM-DD') GROUP BY PS.ps_name HAVING COUNT(*) > 100;"
"List accident FIRs with involved vehicle details.","SELECT F.fir_no, F.incident_date, V.vehicle_no, V.vehicle_type FROM FIR F JOIN VEHICLE_MASTER V ON F.vehicle_id = V.vehicle_id WHERE LOWER(F.incident_type) = 'accident';"
